sampling_rate_hz,freq_resolution_hz,window_duration_s,windows_per_epoch,pts_per_window,smooth_factor,high_filter,low_filter,notch_filter,zero_means_suppressed,col_index,i_code,i_group,sub_index,csv_header,mmx_instrument,variable_name,family,sub_column,units,power_scale,freq_band,freq_min_hz,freq_max_hz,hemisphere,region,electrode,engine,epoch_duration_s,epoch_step_s,rows_per_obs,resolution,evidence_tier,evidence_note
64.0,0.5,2.0,4,128,3,,,,yes,1,I1_1,1,1,"ADR (2 min. running ave.) FFT PowerRatio 8-13/1-4Hz F3C3P3 (Blue) .F4C4P4 (Red), FFT PowerRatio, 8-13/1-4 Hz, F4C4P4","Time Avg <0,120> [FFT_PowerRatio 8-13//1-4 F4C4P4_avg]",adr_avg_f4c4p4,adr,,"ratio of µV amplitudes (dimensionless); clamped at Ratio Max 10. NOT a power ratio — equals the square root of a conventional power-based ADR, so do not compare directly to published values.",,alpha,8.0,13.0,right,,F4C4P4,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"ratio of uV amplitude, NOT power; = sqrt of power-based ADR"
64.0,0.5,2.0,4,128,3,,,,yes,2,I2_1,2,1,"ADR (2 min. running ave.) FFT PowerRatio 8-13/1-4Hz F3C3P3 (Blue) F4C4P4 (Red), FFT PowerRatio, 8-13/1-4 Hz, F3C3P3","Time Avg <0,120> [FFT_PowerRatio 8-13//1-4 F3C3P3_avg]",adr_avg_f3c3p3,adr,,"ratio of µV amplitudes (dimensionless); clamped at Ratio Max 10. NOT a power ratio — equals the square root of a conventional power-based ADR, so do not compare directly to published values.",,alpha,8.0,13.0,left,,F3C3P3,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"ratio of uV amplitude, NOT power; = sqrt of power-based ADR"
64.0,0.5,2.0,4,128,3,,,,yes,3,I3_1,3,1,"ADR (2 min. running ave.) FFT PowerRatio 8-13/1-4Hz F7T7P7 (Blue) .F8T8P8 (Red), FFT PowerRatio, 8-13/1-4 Hz, F8T8P8","Time Avg <0,120> [FFT_PowerRatio 8-13//1-4 F8T8P8_avg]",adr_avg_f8t8p8,adr,,"ratio of µV amplitudes (dimensionless); clamped at Ratio Max 10. NOT a power ratio — equals the square root of a conventional power-based ADR, so do not compare directly to published values.",,alpha,8.0,13.0,right,,F8T8P8,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"ratio of uV amplitude, NOT power; = sqrt of power-based ADR"
64.0,0.5,2.0,4,128,3,,,,yes,4,I4_1,4,1,"ADR (2 min. running ave.) FFT PowerRatio 8-13/1-4Hz F7T7P7 (Blue) F8T8P8 (Red), FFT PowerRatio, 8-13/1-4 Hz, F7T7P7","Time Avg <0,120> [FFT_PowerRatio 8-13//1-4 F7T7P7_avg]",adr_avg_f7t7p7,adr,,"ratio of µV amplitudes (dimensionless); clamped at Ratio Max 10. NOT a power ratio — equals the square root of a conventional power-based ADR, so do not compare directly to published values.",,alpha,8.0,13.0,left,,F7T7P7,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"ratio of uV amplitude, NOT power; = sqrt of power-based ADR"
64.0,0.5,2.0,4,128,3,,,,yes,5,I5_1,5,1,"ADR (2 min. running ave.) FFT PowerRatio 8-13/1-4Hz Left Anterior (Blue) Right Anterior (Red), FFT PowerRatio, 8-13/1-4 Hz, Left Anterior","Time Avg <0,120> [FFT_PowerRatio 8-13//1-4 Left Anterior_avg]",adr_avg_left_anterior,adr,,"ratio of µV amplitudes (dimensionless); clamped at Ratio Max 10. NOT a power ratio — equals the square root of a conventional power-based ADR, so do not compare directly to published values.",,alpha,8.0,13.0,left,anterior,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"ratio of uV amplitude, NOT power; = sqrt of power-based ADR"
64.0,0.5,2.0,4,128,3,,,,yes,6,I6_1,6,1,"ADR (2 min. running ave.) FFT PowerRatio 8-13/1-4Hz Left Anterior (Blue) Right Anterior (Red), FFT PowerRatio, 8-13/1-4 Hz, Right Anterior","Time Avg <0,120> [FFT_PowerRatio 8-13//1-4 Right Anterior_avg]",adr_avg_right_anterior,adr,,"ratio of µV amplitudes (dimensionless); clamped at Ratio Max 10. NOT a power ratio — equals the square root of a conventional power-based ADR, so do not compare directly to published values.",,alpha,8.0,13.0,right,anterior,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"ratio of uV amplitude, NOT power; = sqrt of power-based ADR"
64.0,0.5,2.0,4,128,3,,,,yes,7,I7_1,7,1,"ADR (2 min. running ave.) FFT PowerRatio 8-13/1-4Hz Left Hemisphere (Blue) Right Hemisphere (Red), FFT PowerRatio, 8-13/1-4 Hz, Left Hemisphere","Time Avg <0,120> [FFT_PowerRatio 8-13//1-4 Left Hemisphere_avg]",adr_avg_left_hemisphere,adr,,"ratio of µV amplitudes (dimensionless); clamped at Ratio Max 10. NOT a power ratio — equals the square root of a conventional power-based ADR, so do not compare directly to published values.",,alpha,8.0,13.0,left,hemisphere,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"ratio of uV amplitude, NOT power; = sqrt of power-based ADR"
64.0,0.5,2.0,4,128,3,,,,yes,8,I8_1,8,1,"ADR (2 min. running ave.) FFT PowerRatio 8-13/1-4Hz Left Hemisphere (Blue) Right Hemisphere (Red), FFT PowerRatio, 8-13/1-4 Hz, Right Hemisphere","Time Avg <0,120> [FFT_PowerRatio 8-13//1-4 Right Hemisphere_avg]",adr_avg_right_hemisphere,adr,,"ratio of µV amplitudes (dimensionless); clamped at Ratio Max 10. NOT a power ratio — equals the square root of a conventional power-based ADR, so do not compare directly to published values.",,alpha,8.0,13.0,right,hemisphere,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"ratio of uV amplitude, NOT power; = sqrt of power-based ADR"
64.0,0.5,2.0,4,128,3,,,,yes,9,I9_1,9,1,"ADR (2 min. running ave.) FFT PowerRatio 8-13/1-4Hz Left Posterior (Blue) Right Posterior (Red), FFT PowerRatio, 8-13/1-4 Hz, Left Posterior","Time Avg <0,120> [FFT_PowerRatio 8-13//1-4 Left Posterior_avg]",adr_avg_left_posterior,adr,,"ratio of µV amplitudes (dimensionless); clamped at Ratio Max 10. NOT a power ratio — equals the square root of a conventional power-based ADR, so do not compare directly to published values.",,alpha,8.0,13.0,left,posterior,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"ratio of uV amplitude, NOT power; = sqrt of power-based ADR"
64.0,0.5,2.0,4,128,3,,,,yes,10,I10_1,10,1,"ADR (2 min. running ave.) FFT PowerRatio 8-13/1-4Hz Left Posterior (Blue) Right Posterior (Red), FFT PowerRatio, 8-13/1-4 Hz, Right Posterior","Time Avg <0,120> [FFT_PowerRatio 8-13//1-4 Right Posterior_avg]",adr_avg_right_posterior,adr,,"ratio of µV amplitudes (dimensionless); clamped at Ratio Max 10. NOT a power ratio — equals the square root of a conventional power-based ADR, so do not compare directly to published values.",,alpha,8.0,13.0,right,posterior,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"ratio of uV amplitude, NOT power; = sqrt of power-based ADR"
