sampling_rate_hz,freq_resolution_hz,window_duration_s,windows_per_epoch,pts_per_window,smooth_factor,high_filter,low_filter,notch_filter,zero_means_suppressed,col_index,i_code,i_group,sub_index,csv_header,mmx_instrument,variable_name,family,sub_column,units,power_scale,freq_band,freq_min_hz,freq_max_hz,hemisphere,region,electrode,engine,epoch_duration_s,epoch_step_s,rows_per_obs,resolution,evidence_tier,evidence_note
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,1,I1_1,1,1,"aEEG, All 10-20",aEEG All 10-20_avg,aeeg_max,aeeg,max,µV (peak-to-peak),,,,,,,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,2,I1_2,1,2,"aEEG, All 10-20",aEEG All 10-20_avg,aeeg_min,aeeg,min,µV (peak-to-peak),,,,,,,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,3,I1_3,1,3,"aEEG, All 10-20",aEEG All 10-20_avg,aeeg_p50,aeeg,p50,µV (peak-to-peak),,,,,,,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,4,I1_4,1,4,"aEEG, All 10-20",aEEG All 10-20_avg,aeeg_p75,aeeg,p75,µV (peak-to-peak),,,,,,,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,5,I1_5,1,5,"aEEG, All 10-20",aEEG All 10-20_avg,aeeg_p25,aeeg,p25,µV (peak-to-peak),,,,,,,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,6,I2_1,2,1,"aEEG, Left Hemisphere",aEEG Left Hemisphere_avg,aeeg_left_max,aeeg,max,µV (peak-to-peak),,,,,left,hemisphere,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,7,I2_2,2,2,"aEEG, Left Hemisphere",aEEG Left Hemisphere_avg,aeeg_left_min,aeeg,min,µV (peak-to-peak),,,,,left,hemisphere,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,8,I2_3,2,3,"aEEG, Left Hemisphere",aEEG Left Hemisphere_avg,aeeg_left_p50,aeeg,p50,µV (peak-to-peak),,,,,left,hemisphere,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,9,I2_4,2,4,"aEEG, Left Hemisphere",aEEG Left Hemisphere_avg,aeeg_left_p75,aeeg,p75,µV (peak-to-peak),,,,,left,hemisphere,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,10,I2_5,2,5,"aEEG, Left Hemisphere",aEEG Left Hemisphere_avg,aeeg_left_p25,aeeg,p25,µV (peak-to-peak),,,,,left,hemisphere,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,11,I3_1,3,1,"aEEG, Right Hemisphere",aEEG Right Hemisphere_avg,aeeg_right_max,aeeg,max,µV (peak-to-peak),,,,,right,hemisphere,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,12,I3_2,3,2,"aEEG, Right Hemisphere",aEEG Right Hemisphere_avg,aeeg_right_min,aeeg,min,µV (peak-to-peak),,,,,right,hemisphere,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,13,I3_3,3,3,"aEEG, Right Hemisphere",aEEG Right Hemisphere_avg,aeeg_right_p50,aeeg,p50,µV (peak-to-peak),,,,,right,hemisphere,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,14,I3_4,3,4,"aEEG, Right Hemisphere",aEEG Right Hemisphere_avg,aeeg_right_p75,aeeg,p75,µV (peak-to-peak),,,,,right,hemisphere,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,15,I3_5,3,5,"aEEG, Right Hemisphere",aEEG Right Hemisphere_avg,aeeg_right_p25,aeeg,p25,µV (peak-to-peak),,,,,right,hemisphere,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,16,I4_1,4,1,"aEEG, Anterior",aEEG Anterior_avg,aeeg_anterior_max,aeeg,max,µV (peak-to-peak),,,,,,anterior,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,17,I4_2,4,2,"aEEG, Anterior",aEEG Anterior_avg,aeeg_anterior_min,aeeg,min,µV (peak-to-peak),,,,,,anterior,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,18,I4_3,4,3,"aEEG, Anterior",aEEG Anterior_avg,aeeg_anterior_p50,aeeg,p50,µV (peak-to-peak),,,,,,anterior,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
